"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","1549","Navigation from login page to registration page","LMS system","Tue Jan 13 09:12:48 UTC 2026","passed","Tue Jan 13 09:12:49 UTC 2026","Authorization","Authentication","",""
"","2045","Registration with correct email, username and password","LMS system","Tue Jan 13 09:13:02 UTC 2026","passed","Tue Jan 13 09:13:04 UTC 2026","Registration","Authentication","",""
"","2140","User login with wrong email or password","LMS system","Tue Jan 13 09:12:37 UTC 2026","passed","Tue Jan 13 09:12:40 UTC 2026","Authorization","Authentication","",""
"","8038","User login with correct email and password","LMS system","Tue Jan 13 09:12:52 UTC 2026","passed","Tue Jan 13 09:13:00 UTC 2026","Authorization","Authentication","",""
"","1352","Check displaying of empty courses list","LMS system","Tue Jan 13 09:13:05 UTC 2026","passed","Tue Jan 13 09:13:06 UTC 2026","Courses","Courses","",""
"","1547","Check displaying of dashboard page","LMS system","Tue Jan 13 09:13:28 UTC 2026","passed","Tue Jan 13 09:13:29 UTC 2026","Dashboard","Dashboard","",""
"","1920","User login with wrong email or password","LMS system","Tue Jan 13 09:12:46 UTC 2026","passed","Tue Jan 13 09:12:48 UTC 2026","Authorization","Authentication","",""
"","2127","Registration with correct email, username and password","LMS system","Tue Jan 13 09:13:00 UTC 2026","passed","Tue Jan 13 09:13:02 UTC 2026","Registration","Authentication","",""
"","1829","Check displaying of empty courses list","LMS system","Tue Jan 13 09:13:08 UTC 2026","passed","Tue Jan 13 09:13:10 UTC 2026","Courses","Courses","",""
"","1685","User login with wrong email or password","LMS system","Tue Jan 13 09:12:39 UTC 2026","passed","Tue Jan 13 09:12:40 UTC 2026","Authorization","Authentication","",""
"","3065","Create course","LMS system","Tue Jan 13 09:13:13 UTC 2026","passed","Tue Jan 13 09:13:16 UTC 2026","Courses","Courses","",""
"","1767","User login with wrong email or password","LMS system","Tue Jan 13 09:12:36 UTC 2026","passed","Tue Jan 13 09:12:38 UTC 2026","Authorization","Authentication","",""
"","2997","Create course","LMS system","Tue Jan 13 09:13:11 UTC 2026","passed","Tue Jan 13 09:13:14 UTC 2026","Courses","Courses","",""
"","3629","User login with correct email and password","LMS system","Tue Jan 13 09:12:42 UTC 2026","passed","Tue Jan 13 09:12:46 UTC 2026","Authorization","Authentication","",""
"","2738","User login with correct email and password","LMS system","Tue Jan 13 09:12:49 UTC 2026","passed","Tue Jan 13 09:12:51 UTC 2026","Authorization","Authentication","",""
"","1520","User login with wrong email or password","LMS system","Tue Jan 13 09:12:32 UTC 2026","passed","Tue Jan 13 09:12:34 UTC 2026","Authorization","Authentication","",""
"","1636","User login with wrong email or password","LMS system","Tue Jan 13 09:12:34 UTC 2026","passed","Tue Jan 13 09:12:36 UTC 2026","Authorization","Authentication","",""
"","3109","Edit course","LMS system","Tue Jan 13 09:13:15 UTC 2026","passed","Tue Jan 13 09:13:18 UTC 2026","Courses","Courses","",""
"","2477","Create course","LMS system","Tue Jan 13 09:13:08 UTC 2026","passed","Tue Jan 13 09:13:11 UTC 2026","Courses","Courses","",""
"","1867","User login with wrong email or password","LMS system","Tue Jan 13 09:12:42 UTC 2026","passed","Tue Jan 13 09:12:44 UTC 2026","Authorization","Authentication","",""
"","1576","User login with wrong email or password","LMS system","Tue Jan 13 09:12:34 UTC 2026","passed","Tue Jan 13 09:12:35 UTC 2026","Authorization","Authentication","",""
"","4812","Edit course","LMS system","Tue Jan 13 09:13:18 UTC 2026","passed","Tue Jan 13 09:13:23 UTC 2026","Courses","Courses","",""
"","1629","Check displaying of empty courses list","LMS system","Tue Jan 13 09:13:06 UTC 2026","passed","Tue Jan 13 09:13:08 UTC 2026","Courses","Courses","",""
"","2526","Registration with correct email, username and password","LMS system","Tue Jan 13 09:12:57 UTC 2026","passed","Tue Jan 13 09:12:59 UTC 2026","Registration","Authentication","",""
"","1494","Navigation from login page to registration page","LMS system","Tue Jan 13 09:12:50 UTC 2026","passed","Tue Jan 13 09:12:51 UTC 2026","Authorization","Authentication","",""
"","2306","Check displaying of dashboard page","LMS system","Tue Jan 13 09:13:26 UTC 2026","passed","Tue Jan 13 09:13:28 UTC 2026","Dashboard","Dashboard","",""
"","2623","Navigation from login page to registration page","LMS system","Tue Jan 13 09:12:53 UTC 2026","passed","Tue Jan 13 09:12:56 UTC 2026","Authorization","Authentication","",""
"","1593","User login with wrong email or password","LMS system","Tue Jan 13 09:12:31 UTC 2026","passed","Tue Jan 13 09:12:32 UTC 2026","Authorization","Authentication","",""
"","3460","Edit course","LMS system","Tue Jan 13 09:13:21 UTC 2026","passed","Tue Jan 13 09:13:24 UTC 2026","Courses","Courses","",""
"","1919","Check displaying of dashboard page","LMS system","Tue Jan 13 09:13:23 UTC 2026","passed","Tue Jan 13 09:13:25 UTC 2026","Dashboard","Dashboard","",""
